Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
12-AUG-2024,15.335,16.5575,13.395,15.8675,15.335,0.53,3.47
13-AUG-2024,15.8675,16.375,14.2225,16.1675,15.8675,0.30,1.89
14-AUG-2024,16.1675,16.22,13.8225,15.435,16.1675,-0.73,-4.53
16-AUG-2024,15.435,15.435,12.95,14.4025,15.435,-1.03,-6.69
19-AUG-2024,14.4025,14.83,13.1975,14.315,14.4025,-0.09,-0.61
20-AUG-2024,14.315,14.315,11.425,13.82,14.315,-0.49,-3.46
21-AUG-2024,13.82,14.045,11.8225,13.3325,13.82,-0.49,-3.53
22-AUG-2024,13.3325,13.7825,10.9575,13,13.3325,-0.33,-2.49
23-AUG-2024,13,13.62,10.84,13.5525,13,0.55,4.25
26-AUG-2024,13.5525,13.9925,12.01,13.795,13.5525,0.24,1.79
27-AUG-2024,13.795,14.01,12.71,13.6325,13.795,-0.16,-1.18
28-AUG-2024,13.6325,14.085,12.035,13.95,13.6325,0.32,2.33
29-AUG-2024,13.95,14.135,12.4825,13.7875,13.95,-0.16,-1.16
30-AUG-2024,13.7875,13.905,12.54,13.3925,13.7875,-0.39,-2.86
02-SEP-2024,13.3925,14.25,12.6275,14.06,13.3925,0.67,4.98
03-SEP-2024,14.06,14.15,12.69,13.8425,14.06,-0.22,-1.55
04-SEP-2024,13.8425,14.555,12.805,14.3775,13.8425,0.54,3.86
05-SEP-2024,14.3775,14.3775,13.335,14.2075,14.3775,-0.17,-1.18
06-SEP-2024,14.2075,15.6725,12.3525,15.2175,14.2075,1.01,7.11
09-SEP-2024,15.2175,15.5625,14.11,14.2375,15.2175,-0.98,-6.44
10-SEP-2024,14.2375,14.2375,12.1675,13.36,14.2375,-0.88,-6.16