"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME (shares)","VALUE  (₹ Crores)","52W H","52W L","30 D   %CHNG","365 D % CHNG  22-Sep-2023"

"NIFTY 50","25,872.55","25,956.00","25,847.35","25,790.95","25,939.05","-","148.10","0.57","20,91,87,756","24,825.66","25,956.00","18,837.85","4.50","31.84"
"BAJAJ-AUTO","12,000.00","12,380.00","12,000.00","11,941.70","12,378.55","-","436.85","3.66","7,35,579","898.98","12,380.00","4,903.05","18.57","146.73"
"M&M","2,962.75","3,056.90","2,956.15","2,950.85","3,047.00","-","96.15","3.26","39,25,490","1,186.20","3,056.90","1,450.00","10.54","89.76"
"ONGC","288.40","296.40","287.55","286.25","295.00","-","8.75","3.06","1,46,21,229","429.45","345.00","179.90","-7.35","59.62"
"HEROMOTOCO","6,050.00","6,210.00","6,004.30","6,013.25","6,190.00","-","176.75","2.94","8,87,240","541.82","6,210.00","2,923.95","14.96","104.80"
"SBILIFE","1,882.00","1,925.00","1,880.00","1,870.25","1,920.00","-","49.75","2.66","10,22,492","195.22","1,936.00","1,264.35","7.31","45.59"
"SBIN","786.00","805.00","784.50","781.70","800.60","-","18.90","2.42","1,73,09,545","1,384.59","912.00","543.20","-1.66","34.06"
"HDFCLIFE","718.85","730.00","714.05","711.10","727.80","-","16.70","2.35","29,43,802","212.91","761.20","511.40","-0.21","12.02"
"BHARTIARTL","1,719.00","1,754.25","1,719.00","1,711.75","1,751.15","-","39.40","2.30","50,01,827","871.19","1,754.25","895.45","16.17","92.06"
"BPCL","333.00","339.50","331.30","331.20","338.45","-","7.25","2.19","61,10,287","205.87","367.20","165.73","-4.00","-3.94"
"COALINDIA","493.50","502.50","490.50","490.95","501.50","-","10.55","2.15","61,23,879","304.72","543.55","278.60","-7.10","76.67"
"HINDUNILVR","2,980.00","3,035.00","2,969.95","2,977.60","3,028.00","-","50.40","1.69","13,00,470","391.91","3,035.00","2,172.05","7.56","22.00"
"KOTAKBANK","1,914.95","1,942.00","1,908.20","1,904.50","1,936.10","-","31.60","1.66","36,86,272","711.28","1,942.00","1,543.85","6.42","10.15"
"ULTRACEMCO","11,835.00","11,998.00","11,800.05","11,798.30","11,989.95","-","191.65","1.62","2,79,318","333.65","12,078.00","8,045.05","5.47","46.10"
"DRREDDY","6,600.00","6,662.00","6,580.00","6,551.15","6,646.00","-","94.85","1.45","2,65,324","175.95","7,107.45","5,205.55","-4.31","20.62"
"ADANIPORTS","1,448.00","1,458.95","1,443.85","1,438.70","1,457.90","-","19.20","1.33","11,39,915","165.74","1,621.40","754.50","-2.36","76.07"
"CIPLA","1,646.85","1,664.85","1,638.00","1,638.65","1,658.55","-","19.90","1.21","11,29,445","186.60","1,683.00","1,132.00","5.31","39.82"
"TATASTEEL","154.38","154.39","152.80","152.02","153.85","-","1.83","1.20","3,32,81,905","511.11","184.60","114.60","-0.14","21.49"
"NTPC","427.50","430.50","425.00","423.95","428.75","-","4.80","1.13","1,41,39,629","605.32","431.85","227.75","6.57","80.02"
"APOLLOHOSP","7,090.40","7,182.00","7,090.40","7,082.65","7,150.00","-","67.35","0.95","2,54,282","181.94","7,182.00","4,726.00","4.26","43.36"
"HDFCBANK","1,749.00","1,766.35","1,740.25","1,741.20","1,757.00","-","15.80","0.91","1,34,82,675","2,368.80","1,794.00","1,363.55","8.29","15.05"
"NESTLEIND","2,705.15","2,729.85","2,690.00","2,699.55","2,724.00","-","24.45","0.91","10,72,247","291.56","2,769.30","2,225.52","7.75","-87.91"
"ADANIENT","3,020.00","3,070.00","3,015.25","3,008.50","3,035.00","-","26.50","0.88","8,97,314","273.38","3,743.90","2,142.00","-1.05","23.49"
"SHRIRAMFIN","3,550.95","3,612.00","3,540.00","3,532.10","3,560.50","-","28.40","0.80","5,87,014","209.46","3,623.65","1,760.85","14.11","88.67"
"ITC","515.45","519.45","513.60","514.40","516.75","-","2.35","0.46","78,04,918","403.42","520.50","399.35","2.20","16.67"
"TITAN","3,797.20","3,829.00","3,781.00","3,797.20","3,814.45","-","17.25","0.45","5,30,107","202.27","3,886.95","3,055.65","7.01","16.66"
"RELIANCE","2,982.00","3,003.00","2,977.90","2,971.85","2,985.00","-","13.15","0.44","44,16,157","1,320.84","3,217.60","2,220.30","-0.44","26.83"
"MARUTI","12,625.00","12,749.00","12,625.00","12,614.50","12,667.20","-","52.70","0.42","2,35,586","298.98","13,680.00","9,737.65","3.10","20.39"
"POWERGRID","342.00","342.50","340.25","340.85","341.95","-","1.10","0.32","65,42,941","223.28","362.50","193.75","1.46","71.30"
"TATAMOTORS","973.50","979.20","966.05","970.85","972.30","-","1.45","0.15","1,02,54,297","996.95","1,179.00","608.30","-10.45","56.63"
"BAJFINANCE","7,625.75","7,635.95","7,531.70","7,582.45","7,590.00","-","7.55","0.10","5,73,497","434.88","8,192.00","6,187.80","12.76","1.66"
"JSWSTEEL","986.00","987.95","976.20","981.55","982.50","-","0.95","0.10","17,14,600","168.21","988.00","723.00","4.36","26.88"
"AXISBANK","1,251.50","1,252.45","1,240.55","1,245.00","1,246.00","-","1.00","0.08","54,62,814","681.01","1,339.65","951.40","6.93","22.45"
"SUNPHARMA","1,867.00","1,875.00","1,857.50","1,865.75","1,867.00","-","1.25","0.07","8,12,520","151.47","1,875.00","1,068.35","4.90","64.50"
"BAJAJFINSV","1,929.85","1,934.00","1,914.60","1,916.80","1,917.05","-","0.25","0.01","11,18,846","215.31","1,934.00","1,419.05","17.08","24.37"
"BRITANNIA","6,235.25","6,250.00","6,190.80","6,210.55","6,206.25","-","-4.30","-0.07","3,12,563","194.03","6,258.65","4,347.70","7.23","36.07"
"LT","3,800.00","3,838.80","3,749.00","3,793.90","3,785.00","-","-8.90","-0.23","19,37,874","732.38","3,919.90","2,846.05","5.26","29.78"
"GRASIM","2,705.00","2,705.00","2,665.00","2,678.25","2,669.95","-","-8.30","-0.31","6,78,018","181.46","2,877.75","1,828.05","-2.97","39.49"
"TATACONSUM","1,222.00","1,233.65","1,210.25","1,216.85","1,212.40","-","-4.45","-0.37","28,18,001","343.20","1,256.44","846.53","1.23","38.03"
"TCS","4,300.00","4,309.40","4,253.00","4,284.90","4,266.05","-","-18.85","-0.44","17,02,319","726.96","4,592.25","3,311.00","-4.38","18.45"
"HCLTECH","1,764.00","1,764.00","1,732.50","1,760.05","1,750.70","-","-9.35","-0.53","15,41,597","269.20","1,828.00","1,208.55","5.50","37.61"
"INFY","1,909.00","1,918.90","1,878.45","1,905.75","1,895.00","-","-10.75","-0.56","36,36,672","687.43","1,975.75","1,351.65","1.84","26.76"
"LTIM","6,400.00","6,410.00","6,286.65","6,373.10","6,327.00","-","-46.10","-0.72","2,78,381","176.02","6,574.95","4,513.55","12.13","16.56"
"HINDALCO","695.50","698.00","687.95","694.40","688.05","-","-6.35","-0.91","28,08,114","194.14","715.25","448.75","0.80","44.21"
"TECHM","1,624.95","1,631.00","1,594.50","1,622.05","1,606.20","-","-15.85","-0.98","15,35,902","246.47","1,672.00","1,098.15","0.55","23.12"
"ASIANPAINT","3,316.95","3,324.90","3,273.20","3,306.95","3,274.00","-","-32.95","-1.00","5,22,775","171.87","3,422.95","2,670.10","3.89","0.08"
"INDUSINDBK","1,490.20","1,490.85","1,453.05","1,480.20","1,465.25","-","-14.95","-1.01","46,10,747","676.41","1,694.50","1,329.20","5.51","0.84"
"WIPRO","539.10","540.40","532.00","539.10","533.00","-","-6.10","-1.13","42,72,145","228.48","579.90","375.05","4.39","27.81"
"DIVISLAB","5,490.00","5,582.95","5,364.50","5,450.75","5,386.00","-","-64.75","-1.19","5,88,823","321.18","5,582.95","3,295.30","10.64","45.01"
"ICICIBANK","1,331.00","1,331.80","1,308.50","1,338.45","1,322.00","-","-16.45","-1.23","1,13,80,409","1,502.35","1,362.35","899.00","9.84","39.10"
"EICHERMOT","4,990.00","4,991.40","4,854.65","4,963.15","4,882.00","-","-81.15","-1.64","8,99,953","439.79","5,062.20","3,275.00","-0.38","43.12"